Date,Clicks,Impressions,CTR,Position
2025-01-31,2,32,6.25%,8.88
2025-01-30,1,40,2.5%,8.18
2025-01-29,0,31,0%,14.39
2025-01-28,1,40,2.5%,14.7
2025-01-27,1,49,2.04%,10.27
2025-01-26,1,30,3.33%,15.73
2025-01-25,1,23,4.35%,12.83
2025-01-24,0,39,0%,17.49
2025-01-23,2,48,4.17%,12.1
2025-01-22,1,48,2.08%,11.46
2025-01-21,0,41,0%,12.73
2025-01-20,1,54,1.85%,11.85
2025-01-19,0,36,0%,12.67
2025-01-18,0,25,0%,14.16
2025-01-17,1,44,2.27%,10.7
2025-01-16,1,52,1.92%,8.67
2025-01-15,1,44,2.27%,10.55
2025-01-14,1,46,2.17%,12.93
2025-01-13,2,43,4.65%,12.02
2025-01-12,2,36,5.56%,13.83
2025-01-11,0,29,0%,10.48
2025-01-10,2,42,4.76%,11.52
2025-01-09,1,43,2.33%,10.44
2025-01-08,1,59,1.69%,12.2
2025-01-07,2,44,4.55%,12.14
2025-01-06,2,47,4.26%,8.6
2025-01-05,0,45,0%,13.11
2025-01-04,0,24,0%,19.21
2025-01-03,0,45,0%,13.42
2025-01-02,0,37,0%,13.05
2025-01-01,0,29,0%,13.79
2024-12-31,0,28,0%,16.11
2024-12-30,3,41,7.32%,12.95
2024-12-29,2,37,5.41%,10.54
2024-12-28,2,29,6.9%,11.59
2024-12-27,0,34,0%,14.88
2024-12-26,1,46,2.17%,12.24
2024-12-25,2,34,5.88%,14.97
2024-12-24,0,21,0%,18.76
2024-12-23,0,36,0%,10.25
2024-12-22,1,34,2.94%,10.26
2024-12-21,0,29,0%,16.38
2024-12-20,1,32,3.12%,11.66
2024-12-19,2,57,3.51%,10.82
2024-12-18,0,28,0%,20.64
2024-12-17,1,43,2.33%,14.16
2024-12-16,0,41,0%,15.93
2024-12-15,1,31,3.23%,17.68
2024-12-14,0,25,0%,14.4
2024-12-13,0,32,0%,11.5
2024-12-12,0,36,0%,14.67
2024-12-11,0,39,0%,12.62
2024-12-10,2,41,4.88%,10.88
2024-12-09,0,33,0%,11.33
2024-12-08,0,27,0%,10.56
2024-12-07,0,23,0%,18.35
2024-12-06,0,31,0%,11.16
2024-12-05,0,43,0%,17.51
2024-12-04,1,41,2.44%,13.93
2024-12-03,0,45,0%,11.84
2024-12-02,0,46,0%,8.98
2024-12-01,2,31,6.45%,11.19
2024-11-30,1,24,4.17%,16.88
2024-11-29,0,24,0%,9.17
2024-11-28,0,21,0%,11.14
2024-11-27,0,32,0%,10.94
2024-11-26,1,40,2.5%,11.4
2024-11-25,0,55,0%,11.36
2024-11-24,0,32,0%,15.84
2024-11-23,0,28,0%,13.39
2024-11-22,1,37,2.7%,14.89
2024-11-21,0,41,0%,10.34
2024-11-20,0,44,0%,10.57
2024-11-19,0,40,0%,17.02
2024-11-18,0,52,0%,12.5
2024-11-17,0,39,0%,15.21
2024-11-16,0,25,0%,14.44
2024-11-15,1,34,2.94%,14.56
2024-11-14,0,42,0%,10.45
2024-11-13,1,38,2.63%,12.68
2024-11-12,0,34,0%,16.41
2024-11-11,1,40,2.5%,12.8
2024-11-10,3,43,6.98%,10.93
2024-11-09,0,26,0%,11.42
2024-11-08,1,31,3.23%,13.35
2024-11-07,1,41,2.44%,9.98
2024-11-06,1,44,2.27%,8.59
2024-11-05,3,48,6.25%,13.33
2024-11-04,1,39,2.56%,10.51
2024-11-03,1,28,3.57%,14.68
2024-11-02,1,19,5.26%,16.47
2024-11-01,0,27,0%,14.52
2024-10-31,1,34,2.94%,12.18
2024-10-30,0,45,0%,13.13
2024-10-29,1,53,1.89%,11.57
2024-10-28,0,51,0%,11.69
2024-10-27,0,53,0%,12.04
2024-10-26,2,60,3.33%,12.38
2024-10-25,0,123,0%,13.22
2024-10-24,1,79,1.27%,10.89
2024-10-23,1,39,2.56%,11.9
2024-10-22,0,36,0%,14.22
2024-10-21,1,48,2.08%,8.75
2024-10-20,0,44,0%,10.86
2024-10-19,0,20,0%,10.2
2024-10-18,1,29,3.45%,13.55
2024-10-17,2,40,5%,17.35
2024-10-16,0,47,0%,10.15
2024-10-15,1,48,2.08%,11.44
2024-10-14,0,48,0%,9.85
2024-10-13,0,39,0%,10.9
2024-10-12,0,27,0%,9.19
2024-10-11,0,38,0%,11.53
2024-10-10,0,43,0%,11.47
2024-10-09,0,51,0%,14.69
2024-10-08,1,38,2.63%,14.79
2024-10-07,0,31,0%,15.06
2024-10-06,0,32,0%,14.34
2024-10-05,0,17,0%,14.88
2024-10-04,1,24,4.17%,10.42
2024-10-03,0,39,0%,16.31
2024-10-02,0,35,0%,13.94
2024-10-01,1,32,3.12%,9.5
2024-09-30,0,43,0%,10.93
2024-09-29,0,26,0%,26.46
2024-09-28,0,23,0%,13.96
2024-09-27,1,30,3.33%,16.67
2024-09-26,0,30,0%,18.17
2024-09-25,1,36,2.78%,15.11
2024-09-24,0,28,0%,16.57
2024-09-23,1,50,2%,10.72
2024-09-22,1,35,2.86%,11.14
2024-09-21,1,22,4.55%,25.23
2024-09-20,0,33,0%,14.79
2024-09-19,2,50,4%,11.84
2024-09-18,0,46,0%,16.37
2024-09-17,1,43,2.33%,11.77
2024-09-16,3,50,6%,14.6
2024-09-15,2,32,6.25%,9.59
2024-09-14,1,23,4.35%,15.65
2024-09-13,1,37,2.7%,14.78
2024-09-12,1,37,2.7%,11.62
2024-09-11,2,41,4.88%,11.22
2024-09-10,0,29,0%,16.55
2024-09-09,0,48,0%,10.17
2024-09-08,1,24,4.17%,11.33
2024-09-07,0,24,0%,16.67
2024-09-06,0,26,0%,15.81
2024-09-05,0,42,0%,12.81
2024-09-04,2,40,5%,11.75
2024-09-03,0,60,0%,8.62
2024-09-02,0,29,0%,12
2024-09-01,0,37,0%,9.11
2024-08-31,0,15,0%,8.87
2024-08-30,3,28,10.71%,16.07
2024-08-29,0,42,0%,12.14
2024-08-28,1,35,2.86%,9.86
2024-08-27,0,29,0%,9.79
2024-08-26,1,38,2.63%,8.24
2024-08-25,0,22,0%,8.41
2024-08-24,0,21,0%,10.24
2024-08-23,0,26,0%,13.88
2024-08-22,0,41,0%,11.41
2024-08-21,1,35,2.86%,15.06
2024-08-20,1,44,2.27%,12.73
2024-08-19,0,30,0%,12.17
2024-08-18,1,23,4.35%,16.91
2024-08-17,0,12,0%,19.08
2024-08-16,2,23,8.7%,19.17
2024-08-15,1,20,5%,13.15
2024-08-14,0,30,0%,9.2
2024-08-13,2,29,6.9%,13.69
2024-08-12,0,34,0%,10.24
2024-08-11,0,20,0%,10.15
2024-08-10,0,11,0%,23.64
2024-08-09,0,20,0%,15.1
2024-08-08,1,37,2.7%,9.43
2024-08-07,0,33,0%,8.55
2024-08-06,1,26,3.85%,10.38
2024-08-05,0,19,0%,10.42
2024-08-04,2,15,13.33%,11.2
2024-08-03,0,23,0%,19.7
2024-08-02,2,21,9.52%,8.14
2024-08-01,1,37,2.7%,8.62
2024-07-31,1,11,9.09%,7.64
2024-07-30,1,19,5.26%,12.68
2024-07-29,0,17,0%,16.41
2024-07-28,0,12,0%,9.83
2024-07-27,0,8,0%,18.25
2024-07-26,0,14,0%,18.43
2024-07-25,1,18,5.56%,9.89
2024-07-24,0,21,0%,10.81
2024-07-23,0,23,0%,6.65
2024-07-22,0,21,0%,8.71
2024-07-21,1,28,3.57%,11.07
2024-07-20,0,16,0%,18.12
2024-07-19,0,12,0%,14.75
2024-07-18,1,17,5.88%,13.24
2024-07-17,1,22,4.55%,22.23
2024-07-16,3,22,13.64%,9.14
2024-07-15,2,19,10.53%,9.47
2024-07-14,0,14,0%,12.93
2024-07-13,2,12,16.67%,9
2024-07-12,0,11,0%,18.18
2024-07-11,0,5,0%,17.4
2024-07-10,3,17,17.65%,8.59
2024-07-09,0,9,0%,12
2024-07-08,0,7,0%,22.57
2024-07-07,0,12,0%,11.58
2024-07-06,0,9,0%,7.33
2024-07-05,0,7,0%,16.71
2024-07-04,0,7,0%,21.14
2024-07-03,2,23,8.7%,16.48
2024-07-02,2,17,11.76%,10.24
2024-07-01,1,8,12.5%,20.88
2024-06-30,0,6,0%,11.33
2024-06-29,0,11,0%,9.91
2024-06-28,0,9,0%,21
2024-06-27,0,9,0%,8.89
2024-06-26,1,17,5.88%,12.53
2024-06-25,0,2,0%,22.5
2024-06-24,0,16,0%,11.5
2024-06-23,0,14,0%,11.93
2024-06-22,0,9,0%,13.89
2024-06-21,0,15,0%,10.6
2024-06-20,1,16,6.25%,12.06
2024-06-19,0,17,0%,11
2024-06-18,1,12,8.33%,9.33
2024-06-17,0,19,0%,10.58
2024-06-16,0,10,0%,11.9
2024-06-15,0,10,0%,9.4
2024-06-14,1,11,9.09%,10.82
2024-06-13,1,12,8.33%,8.25
2024-06-12,1,21,4.76%,8.95
2024-06-11,0,23,0%,9.17
2024-06-10,0,20,0%,10.8
2024-06-09,1,11,9.09%,7.09
2024-06-08,0,5,0%,22.2
2024-06-07,0,12,0%,8.75
2024-06-06,2,9,22.22%,6
2024-06-05,0,13,0%,6.85
2024-06-04,0,12,0%,19
2024-06-03,3,27,11.11%,11.26
2024-06-02,0,14,0%,8.71
2024-06-01,0,8,0%,6.12
2024-05-31,0,19,0%,7.95
2024-05-30,1,23,4.35%,11.83
2024-05-29,0,16,0%,10.38
2024-05-28,0,22,0%,11.95
2024-05-27,0,23,0%,9.7
2024-05-26,1,14,7.14%,17
2024-05-25,0,14,0%,15.79
2024-05-24,0,18,0%,11.94
2024-05-23,0,43,0%,12.02
2024-05-22,2,26,7.69%,15.58
2024-05-21,0,21,0%,17.05
2024-05-20,0,16,0%,14.94
2024-05-19,0,20,0%,19.55
2024-05-18,0,15,0%,11.27
2024-05-17,1,14,7.14%,8.86
2024-05-16,1,18,5.56%,15.28
2024-05-15,0,20,0%,11.2
2024-05-14,1,15,6.67%,11.6
2024-05-13,1,17,5.88%,14.94
2024-05-12,0,13,0%,26.08
2024-05-11,0,10,0%,10.8
2024-05-10,0,7,0%,9.86
2024-05-09,0,15,0%,10.4
2024-05-08,0,14,0%,22.21
2024-05-07,0,11,0%,13.91
2024-05-06,1,14,7.14%,7.57
2024-05-05,0,24,0%,18.25
2024-05-04,0,9,0%,22.44
2024-05-03,0,9,0%,12
2024-05-02,0,15,0%,11.73
2024-05-01,1,16,6.25%,12.5
2024-04-30,1,16,6.25%,11.12
2024-04-29,0,20,0%,7.25
2024-04-28,1,13,7.69%,10.62
2024-04-27,0,12,0%,14.42
2024-04-26,1,22,4.55%,12.14
2024-04-25,2,21,9.52%,12.05
2024-04-24,0,14,0%,20.93
2024-04-23,0,15,0%,13.2
2024-04-22,2,12,16.67%,14.83
2024-04-21,0,8,0%,24.12
2024-04-20,0,7,0%,13.43
2024-04-19,2,10,20%,22.6
2024-04-18,1,21,4.76%,16.14
2024-04-17,3,17,17.65%,16.71
2024-04-16,1,19,5.26%,12.79
2024-04-15,2,19,10.53%,10.47
2024-04-14,0,16,0%,21.19
2024-04-13,0,8,0%,21.62
2024-04-12,0,11,0%,13.91
2024-04-11,0,11,0%,21.09
2024-04-10,0,15,0%,16.33
2024-04-09,0,14,0%,13.64
2024-04-08,1,15,6.67%,13.33
2024-04-07,0,12,0%,13.5
2024-04-06,1,7,14.29%,12.57
2024-04-05,0,10,0%,21.5
2024-04-04,1,18,5.56%,17.11
2024-04-03,1,16,6.25%,13.81
2024-04-02,0,13,0%,12
2024-04-01,2,17,11.76%,9.94
2024-03-31,0,11,0%,16.82
2024-03-30,0,12,0%,18.25
2024-03-29,0,13,0%,12.85
2024-03-28,0,11,0%,24
2024-03-27,1,15,6.67%,15
2024-03-26,0,17,0%,10.59
2024-03-25,0,23,0%,6.22
2024-03-24,0,10,0%,9.4
2024-03-23,0,10,0%,10.5
2024-03-22,0,14,0%,11
2024-03-21,0,19,0%,7.32
2024-03-20,1,14,7.14%,7.43
2024-03-19,1,19,5.26%,16.05
2024-03-18,0,10,0%,7.6
2024-03-17,1,17,5.88%,6.65
2024-03-16,0,7,0%,4.14
2024-03-15,1,12,8.33%,8.67
2024-03-14,0,11,0%,7.36
2024-03-13,0,19,0%,9.95
2024-03-12,0,12,0%,14.5
2024-03-11,1,9,11.11%,6.78
2024-03-10,0,12,0%,7.67
2024-03-09,0,6,0%,7.5
2024-03-08,2,12,16.67%,5.17
2024-03-07,1,13,7.69%,6.69
2024-03-06,0,13,0%,6.38
2024-03-05,3,23,13.04%,6.17
2024-03-04,0,6,0%,8.83
2024-03-03,0,13,0%,5.77
2024-03-02,2,7,28.57%,4.43
2024-03-01,0,8,0%,7.5
2024-02-29,1,10,10%,10.1
2024-02-28,0,8,0%,13.88
2024-02-27,0,18,0%,8.39
2024-02-26,1,15,6.67%,8.33
2024-02-25,0,9,0%,6.56
2024-02-24,0,1,0%,19
2024-02-23,2,9,22.22%,12.67
2024-02-22,0,8,0%,8.25
2024-02-21,1,17,5.88%,11
2024-02-20,0,15,0%,8.2
2024-02-19,0,10,0%,8.7
2024-02-18,0,10,0%,10.5
2024-02-17,0,7,0%,9.71
2024-02-16,0,10,0%,7.2
2024-02-15,0,9,0%,17
2024-02-14,0,4,0%,7
2024-02-13,0,13,0%,8.08
2024-02-12,0,12,0%,6.75
2024-02-11,0,16,0%,8.56
2024-02-10,0,4,0%,24.25
2024-02-09,0,5,0%,16
2024-02-08,0,15,0%,7.33
2024-02-07,1,10,10%,6.4
2024-02-06,1,18,5.56%,8.28
2024-02-05,0,1,0%,1
2024-02-04,0,11,0%,5.55
2024-02-03,0,7,0%,8
2024-02-02,0,7,0%,7.71
2024-02-01,0,10,0%,4.8
2024-01-31,1,11,9.09%,5.55
2024-01-30,1,10,10%,6.1
2024-01-29,0,13,0%,6.69
2024-01-28,1,7,14.29%,5.86
2024-01-27,0,8,0%,5.62
2024-01-26,0,8,0%,7
2024-01-25,1,9,11.11%,15.56
2024-01-24,0,9,0%,4.33
2024-01-23,0,7,0%,7.57
2024-01-22,0,15,0%,6.6
2024-01-21,1,5,20%,7.6
2024-01-20,0,4,0%,13.5
2024-01-19,0,4,0%,5.5
2024-01-18,0,11,0%,6.91
2024-01-17,0,6,0%,7.17
2024-01-16,0,10,0%,6.9
2024-01-15,1,9,11.11%,7.89
2024-01-14,0,18,0%,13.44
2024-01-13,0,4,0%,4.5
2024-01-12,0,2,0%,4.5
2024-01-11,1,8,12.5%,5.5
2024-01-10,0,8,0%,7.12
2024-01-09,0,8,0%,13.38
2024-01-08,1,14,7.14%,5.43
2024-01-07,0,17,0%,5.18
2024-01-06,1,5,20%,3.6
2024-01-05,0,11,0%,5.82
2024-01-04,0,16,0%,5.94
2024-01-03,0,12,0%,5.08
2024-01-02,0,9,0%,5.78
2024-01-01,0,4,0%,5.5